Date,Open,High,Low,Close,Adj Close,Volume
27-08-2004,122.800003,122.800003,119.82,120.332497,88.088272,30646000
30-08-2004,121.237503,123.75,120.625,123.345001,90.293549,24465208
31-08-2004,123.3125,123.75,122,123.512497,90.416122,21194656
01-09-2004,123.75,124.375,122.949997,123.487503,90.39782,19935544
02-09-2004,123.737503,125.574997,123.25,124.207497,90.924896,21356352
03-09-2004,125.75,137.5,123.794998,124.732498,91.309212,9869856
06-09-2004,129.987503,129.987503,124.112503,124.357498,91.034721,9038672
07-09-2004,129.375,129.375,124.375,124.449997,91.10244,5772232
08-09-2004,124.5,125.099998,123.887497,124.212502,90.928566,6593984
09-09-2004,124.625,124.737503,122.307503,122.495003,89.67131,7947184
10-09-2004,123.75,123.75,122,123.599998,90.480194,6415072
13-09-2004,123.875,126.9375,123.875,125.4375,91.825348,20904912
14-09-2004,125.625,127.349998,125.370003,126.957497,92.938019,15335472
15-09-2004,127.25,127.5,125.150002,125.762497,92.063225,11988288
16-09-2004,125.875,126.875,125.3125,126.057503,92.27919,7358224
17-09-2004,126.5,128.737503,126.287498,128.0625,93.746925,14627896
20-09-2004,129.050003,129.612503,127.519997,127.862503,93.600525,8552224
21-09-2004,128.107498,131.0625,127.75,130.725006,95.696022,13897080
22-09-2004,131.050003,132,129.637497,131.507507,96.268822,15371584
23-09-2004,131,131.125,128.375,128.782501,94.273994,15819680
24-09-2004,128.637497,130,128.25,128.600006,94.140434,8083208
27-09-2004,128.4375,129.0625,126.875,127.595001,93.404694,8229512
28-09-2004,127,128.425003,126.5625,126.945,92.928886,6339416
29-09-2004,127.407501,129.125,127.019997,128.875,94.341721,11737176
30-09-2004,129.449997,130.112503,127.582497,128.387497,93.984879,12521432
01-10-2004,128.625,132.057495,128.294998,130.962494,95.869812,10968888
04-10-2004,132.125,135.125,131.807495,134.5625,98.505196,15129824
05-10-2004,135.037506,136.125,134.4375,135.087494,98.889496,14341288
06-10-2004,135.125,137.850006,134.382507,135.199997,98.971901,17670664
07-10-2004,135.375,137.5,135.375,137.137497,100.39019,10080128
08-10-2004,137.25,138.875,136.875,137.257507,100.478027,8558920
11-10-2004,137.5,138.9375,135.625,136.162506,99.676476,9332056
12-10-2004,138.75,139.375,134.707504,135.557495,99.233604,15600512
14-10-2004,137.875,140.5,136.007507,139.524994,102.137901,19225984
15-10-2004,140.212494,142.625,139.657501,140.75,103.034683,17799744
18-10-2004,141.75,142.75,140.657501,142.157501,104.065033,13693344
19-10-2004,142.520004,143.587494,142.012497,142.899994,104.608589,11767128
20-10-2004,143.100006,143.737503,141.125,141.657501,103.699043,7206832
21-10-2004,142.157501,142.375,140.25,140.695007,102.994453,6413520
22-10-2004,140.695007,140.695007,140.695007,140.695007,102.994453,0
25-10-2004,140.625,140.875,138.845001,139.669998,102.244118,9390272
26-10-2004,139.449997,142.619995,139.449997,142.149994,104.059525,6932760
27-10-2004,142.782501,143.5,141.899994,142.487503,104.306648,7837656
28-10-2004,143.125,146.850006,143.125,145.744995,106.972786,18591416
29-10-2004,145.994995,145.994995,143.145004,144.532501,106.082848,8661776
01-11-2004,143.75,146.807495,142.787506,146.332504,107.403969,6137568
02-11-2004,141.25,147.470001,140.625,144.962494,106.398438,8864040
03-11-2004,145.125,148,145.125,146.899994,107.820518,8978136
04-11-2004,147.720001,148.487503,145.962494,146.300003,107.380135,6555808
05-11-2004,146.744995,147.5,145,145.682495,106.92691,5023848
08-11-2004,145.625,148.612503,144.5,148.020004,108.642548,10291728
09-11-2004,148.375,149.737503,147.125,148.550003,109.03157,7338712
10-11-2004,148.875,149.875,148.762497,149.294998,109.578323,5734392
11-11-2004,149.875,150.425003,148.887497,149.532501,109.752693,5235128
12-11-2004,150.5,151,148.774994,149.595001,109.798546,1813408
15-11-2004,149.595001,149.595001,149.595001,149.595001,109.798546,0
16-11-2004,149.75,149.75,148,148.862503,109.260948,4005504
17-11-2004,148.9375,151.237503,148.9375,150.675003,110.591225,5467936
18-11-2004,151.182495,154.320007,150.8125,153.875,112.939964,7472128
19-11-2004,154.125,154.625,151.387497,152.137497,111.664673,6812760
22-11-2004,150.975006,153.25,149.375,152.807495,112.156441,4738272
23-11-2004,153.824997,155.25,153.020004,154.445007,113.358345,4312792
24-11-2004,154.875,155.625,153.770004,154.237503,113.206001,3223304
25-11-2004,154.25,155.5,151.082504,152.107498,111.642662,6310872
26-11-2004,152.107498,152.107498,152.107498,152.107498,111.642662,0
29-11-2004,152,155.962494,150.695007,155.487503,114.12352,5281488
30-11-2004,156.020004,160.75,155.625,159.332504,116.945595,10508144
01-12-2004,160.125,160.125,157.125,157.695007,115.743698,8481864
02-12-2004,158.125,159.625,154.887497,155.324997,114.004234,9657704
03-12-2004,156.157501,156.987503,152.695007,154.595001,113.468445,9777216
06-12-2004,155,156.25,151.0625,151.820007,111.43161,11473872
07-12-2004,152,154.112503,151.875,152.282501,111.771126,7863224
08-12-2004,152.25,153.324997,149.507507,150.100006,110.169212,7329408
09-12-2004,150.619995,152.125,150.607498,151.432495,111.147217,3801224
10-12-2004,152.5,154.4375,151.75,153.207504,112.449997,6216808
13-12-2004,153.25,155.207504,153.157501,154.520004,113.413376,4996232
14-12-2004,155.25,155.587494,153.787506,154.145004,113.138161,3083504
15-12-2004,155.5,156.845001,154.75,155.6875,114.270264,5772672
16-12-2004,156.057495,158.125,154.75,157.832504,115.844643,4350464
17-12-2004,157.5,159.350006,156.512497,157.0625,115.279434,5509752
20-12-2004,157.5,158.5625,157.0625,157.820007,115.835487,2268424
21-12-2004,158.119995,159.625,157.895004,159.087494,116.765808,3458512
22-12-2004,159.387497,159.387497,153.75,155.020004,113.780411,6001712
23-12-2004,155.962494,155.962494,153.125,153.482498,112.651863,3948912
24-12-2004,154.119995,159,152.695007,158.494995,116.33091,6661856
27-12-2004,158.75,160.625,157.774994,158.820007,116.569397,4400504
28-12-2004,159,164.25,158.274994,163.669998,120.129257,9614448
29-12-2004,164.619995,167.112503,164.145004,165.032501,121.129219,6633224
30-12-2004,164.75,166,161.482498,162.082504,118.964073,5626792
31-12-2004,162.5,167.350006,162.082504,166.932495,122.523796,4899312
03-01-2005,166.932495,169.587494,166.932495,169.157501,124.156837,4734168
04-01-2005,168.75,169.25,166.645004,167.657501,123.055923,4979104
05-01-2005,167.524994,167.524994,160.037506,165.625,121.564117,9604320
06-01-2005,165,168.25,161.5625,165.057495,121.147621,8006888
07-01-2005,166.25,168.125,164.082504,167.494995,122.936676,7623136
10-01-2005,168.582504,169.925003,165.25,165.932495,121.789909,7521568
11-01-2005,166.25,166.912506,162.625,164.220001,120.532883,7986376
12-01-2005,165.744995,170.994995,160.837494,162.257507,119.092461,20720032
13-01-2005,163.75,167.337494,159.375,161.612503,118.61908,27757952
14-01-2005,163.087494,164.737503,159.625,162.050003,118.94017,15757776
17-01-2005,163.699997,163.699997,155.024994,157.907501,115.899681,13651184
18-01-2005,159.337494,160.5,157.1875,157.982498,115.954735,6183264
19-01-2005,158.25,159.212494,156.387497,156.925003,115.178596,3538488
20-01-2005,156.875,156.875,153.75,155.462494,114.105133,4536200
24-01-2005,155.462494,155.919998,151.919998,152.582504,111.991318,3628192
25-01-2005,151.850006,154.987503,150.887497,154.432495,113.349106,4465928
27-01-2005,155.407501,156.725006,154.412506,155.070007,113.817032,5455344
28-01-2005,155.357498,161.850006,155.3125,161.149994,118.27961,8393816
31-01-2005,162.25,163.975006,161.282501,162.550003,119.307152,5853384
01-02-2005,163.375,165,160.875,164.407501,120.670517,8019840
02-02-2005,164.875,165.432495,162.875,163.619995,120.092529,4870456
03-02-2005,164,164.345001,162.75,163.887497,120.611343,3327616
04-02-2005,163.75,165.25,162.570007,163.307495,120.18454,2684040
07-02-2005,164.074997,166.337494,162.625,164.220001,120.856033,5944216
08-02-2005,164.220001,165.375,163.5,164.5,121.062126,3284432
09-02-2005,165.125,167.949997,165.095001,166.600006,122.607597,5537936
10-02-2005,166.25,167.9375,165.375,166.582504,122.594734,4376648
11-02-2005,167.25,173.375,167.25,172.720001,127.111526,10367096
14-02-2005,173.882507,177.25,173.882507,176.207504,129.678162,8875264
15-02-2005,176.25,176.875,171.75,172.669998,127.074837,3976720
16-02-2005,174.875,174.875,170.125,171.020004,125.860435,3126832
17-02-2005,171.020004,173.25,168.824997,172.732498,127.120689,4124976
18-02-2005,172.5,174,169.375,171.875,126.489716,2545144
21-02-2005,171.375,171.975006,168.137497,170.695007,125.6213,1777152
22-02-2005,170.587494,171.244995,168.875,170.432495,125.428055,2139040
23-02-2005,170.432495,172.762497,169.395004,171.869995,126.485985,5166816
24-02-2005,171.869995,174.487503,170.149994,170.994995,125.84211,10806440
25-02-2005,172.100006,172.375,169.145004,170.507507,125.483284,5070896
28-02-2005,172.375,173.125,167.5,172.612503,127.032478,6402408
01-03-2005,172.625,180,168.875,169.682495,124.87616,4958152
02-03-2005,171.875,171.875,170.199997,171,125.845726,2658112
03-03-2005,171.25,174.375,170.5,173.695007,127.829079,2891160
04-03-2005,174.25,175.4375,172.75,174.032501,128.077454,4017872
07-03-2005,174.375,176,174.25,175.024994,128.807892,3658032
08-03-2005,175.5,177.612503,174.419998,176.744995,130.073761,5027680
09-03-2005,176.125,178.3125,174.382507,175.9375,129.479385,5422088
10-03-2005,176.25,176.25,173.782501,174.945007,128.749054,2302280
11-03-2005,175.75,179.362503,175.625,178.432495,131.315598,5205744
14-03-2005,178.5,182.5,177.5,181.482498,133.560196,6534032
15-03-2005,181.375,182.75,178.75,180.332504,132.713959,4146480
16-03-2005,180,183.449997,180,181.507507,133.578659,5473416
17-03-2005,181,184.212494,180,182.619995,134.397354,6805328
18-03-2005,182.375,184.0625,178.125,183.587494,135.109344,6123464
21-03-2005,183.770004,184.375,180.574997,182.057495,133.983368,4354120
22-03-2005,181.850006,182.137497,180.012497,180.445007,132.796692,2684432
23-03-2005,180,181,176.669998,177.657501,130.745255,3439416
24-03-2005,178.75,179.75,172.207504,173.044998,127.350761,5954576
28-03-2005,173.875,176.107498,173,174.050003,128.090393,3699728
29-03-2005,174.375,174.75,170.274994,171.362503,126.11248,3053400
30-03-2005,171.387497,175,170,173.820007,127.921066,4115256
31-03-2005,175.5625,180.637497,174.657501,179.007507,131.738785,6914640
01-04-2005,179.125,182.125,176.75,181.369995,133.477478,5562672
04-04-2005,181.5,182.100006,177.912506,178.470001,131.343201,5257360
05-04-2005,178.625,180.3125,177.012497,178.182495,131.131638,3367832
06-04-2005,178.375,181,178.375,180.169998,132.594315,1953408
07-04-2005,180.125,181.25,177.75,178.149994,131.107666,2483216
08-04-2005,178.837494,179.362503,173.757507,174.195007,128.197144,4052280
11-04-2005,174.625,175,170.012497,170.449997,125.440979,2822992
12-04-2005,174.875,174.875,170.625,172.75,127.133636,4112696
13-04-2005,174.25,175.875,173.195007,175.199997,128.936661,4638600
15-04-2005,174.375,174.375,164.375,164.875,121.338097,9862480
18-04-2005,162.5,168.587494,161.375,164.832504,121.306862,6024304
19-04-2005,166.25,168.612503,147.262497,151.087494,111.191353,27235152
20-04-2005,150,150,136.662506,139.524994,102.682007,47498256
21-04-2005,140.625,143.5,138.75,142.800003,105.092194,13252336
22-04-2005,145,146.457504,142.532501,145.845001,107.333138,12958672
25-04-2005,145.600006,145.987503,143.5,144.619995,106.431641,6880584
26-04-2005,144.625,145.475006,141.762497,142.087494,104.567848,5539000
27-04-2005,142.637497,142.637497,138.875,139.457504,102.632347,6537368
28-04-2005,139.387497,141.25,137.145004,139.350006,102.553238,8728872
29-04-2005,141.100006,143.087494,139.632507,141.387497,104.052757,11065704
02-05-2005,143.75,147.25,139.762497,141.112503,103.850334,5129600
03-05-2005,141.25,141.875,138.169998,138.574997,101.98288,5503048
04-05-2005,138.3125,140.5625,138.3125,140.107498,103.110664,4792144
05-05-2005,143.744995,143.75,140.695007,142.107498,104.582573,6495064
06-05-2005,142.5,146.462494,141.520004,145.9375,107.401253,8188664
09-05-2005,146.25,147.782501,145.782501,146.907501,108.115097,4739040
10-05-2005,147.25,147.25,143.282501,144.0625,106.02137,7075952
11-05-2005,143.5,144.074997,142.244995,143.637497,105.708611,3213288
12-05-2005,144.875,145.212494,142.895004,143.345001,105.493309,3608944
13-05-2005,143.625,143.875,142.520004,143.574997,105.662575,2388752
16-05-2005,143.125,144.862503,142.782501,144.287506,106.18692,5775200
17-05-2005,145.137497,145.587494,143.050003,143.820007,105.842896,4666576
18-05-2005,144.25,144.25,140.375,142.837494,105.119827,4588224
19-05-2005,144.182495,146.5,144.149994,145.3125,106.941284,3659448
20-05-2005,145.625,146.837494,143.399994,146.207504,107.599968,3265616
23-05-2005,146.25,154.362503,146.25,152.975006,112.580444,10362016
24-05-2005,155.587494,155.587494,150.657501,154.357498,113.597847,6128856
25-05-2005,153.712494,158.675003,151.875,157.570007,115.962097,7894472
26-05-2005,157.25,162,156.395004,161.257507,118.675842,9782096
27-05-2005,160.375,162.375,156.907501,158.649994,116.756866,7363480
30-05-2005,158.649994,166.632507,158,164.887497,121.34726,17893184
31-05-2005,165,167.862503,163.195007,166.782501,122.741905,10365568
01-06-2005,166.25,166.25,162.195007,163.0625,120.004295,7530088
02-06-2005,163.5,163.625,158.137497,158.570007,116.697983,11076624
03-06-2005,158.570007,162.087494,157.632507,161.645004,118.961006,6548528
06-06-2005,161.875,162.712494,158.787506,160.050003,117.787163,5792512
07-06-2005,161.100006,161.100006,158.632507,159.707504,117.535095,3698192
08-06-2005,160,162,159.512497,161.512497,118.863487,4832512
09-06-2005,161.75,162.375,158.919998,159.662506,117.502007,3598336
10-06-2005,160,162.5,157.637497,158.270004,116.477234,6642624
13-06-2005,159.375,160.375,157.524994,158.957504,116.983177,2590032
14-06-2005,159.625,159.987503,157.524994,158.257507,116.468018,3452384
15-06-2005,158.720001,159.737503,158.287506,159.020004,117.029175,2791072
16-06-2005,159.725006,160.987503,158.107498,159.712494,117.53878,4593552
17-06-2005,160.337494,160.807495,157.887497,158.457504,116.615204,3067992
20-06-2005,159.375,162.744995,158.787506,161.987503,119.213089,6412672
21-06-2005,162.5,164.050003,160.412506,163.137497,120.059433,10463544
22-06-2005,163.625,167.375,163.625,166.669998,122.659111,11537376
23-06-2005,166.25,167.220001,163.125,163.425003,120.270958,3676944
24-06-2005,162.5,167.287506,161.875,165.720001,121.95993,6021320
27-06-2005,164.962494,166.625,163.5,164.557495,121.104462,3548128
28-06-2005,164.75,166,164.257507,165.445007,121.757614,5776112
29-06-2005,165.625,169.744995,165.270004,166.570007,122.585518,6446640
30-06-2005,167.350006,170.625,167.350006,169.762497,124.93499,7189000
01-07-2005,168.75,169.587494,167.544998,169.050003,124.410637,4820568
04-07-2005,169.850006,171.487503,166.375,169.882507,125.023308,3951648
05-07-2005,171.220001,171.220001,164.074997,165.024994,121.448494,5187376
06-07-2005,165.75,166.574997,164.520004,165.387497,122.177971,3057216
07-07-2005,165.387497,167.5,162.907501,163.707504,120.936874,3488888
08-07-2005,163.824997,166.175003,161.695007,163.887497,121.069878,6088000
11-07-2005,163.887497,166.25,163.887497,165.757507,122.451294,3791264
12-07-2005,164.824997,165.125,159.037506,160.737503,118.742821,6150600
13-07-2005,160.625,162.5,158.375,158.845001,117.344795,6469840
14-07-2005,159.832504,160.962494,152.044998,153.125,113.119217,8860408
15-07-2005,153.875,157.737503,151.882507,156.057495,115.285568,9341720
18-07-2005,156.5,184.875,156.5,165.274994,122.094818,14475608
19-07-2005,168.550003,169.75,157.5,164.895004,121.814133,4677744
20-07-2005,166.875,166.875,163.145004,163.532501,120.807663,3494304
21-07-2005,165.125,165.125,160,161.287506,119.149178,4198984
22-07-2005,160.625,162.232498,158.800003,161.744995,119.487152,5179296
25-07-2005,162.074997,162.794998,159.399994,160.544998,118.600685,5433024
26-07-2005,160.732498,161.5,157.5,158.157501,116.836922,5229680
27-07-2005,158.125,161,158.125,160.5625,118.613594,2597408
28-07-2005,321.125,321.125,321.125,321.125,237.227188,0
29-07-2005,159.375,161.25,157.75,158.600006,117.163834,8358552
01-08-2005,158.375,159.375,155.332504,156.524994,115.630951,5430792
02-08-2005,161.5,162.25,157.25,161.287506,119.149178,4821520
03-08-2005,162.1875,163.425003,160.375,162.595001,120.115067,7274320
04-08-2005,163.125,164.975006,161,161.907501,119.607193,6346936
05-08-2005,162.5,163.5,159.649994,160.675003,118.696655,3162848
08-08-2005,161.25,161.25,158.407501,160.382507,118.48056,4109360
09-08-2005,159.375,160.875,158,160.550003,118.604378,4743752
10-08-2005,160.707504,164.582504,160.707504,164.132507,121.250893,6958080
11-08-2005,164.582504,166.125,163.324997,164.107498,121.232414,3645312
12-08-2005,166.050003,166.050003,159.449997,160.357498,118.462128,3821832
16-08-2005,161.25,161.25,158.125,158.632507,117.187866,3653408
17-08-2005,160,162.75,157.662506,162.395004,119.967331,5637488
18-08-2005,163.375,165.625,163.162506,164.212494,121.590797,7813656
19-08-2005,164.375,166.5,163.887497,165.669998,122.669914,4966272
22-08-2005,165.625,168.550003,155.625,164.732498,121.975769,4492016
23-08-2005,165.875,166.332504,164.125,164.507507,121.809196,4686416
24-08-2005,164.507507,164.75,160.5,161.962494,119.924751,4036760
25-08-2005,163.125,166.25,162.5,165.457504,122.512619,6341224
26-08-2005,166.057495,171.25,165.625,170.595001,126.316666,8198664
29-08-2005,171.25,172.25,166.25,169.419998,125.44664,4081336
30-08-2005,169.457504,173.875,169.457504,173.044998,128.130753,5807592
31-08-2005,172.600006,176.919998,172.5,175.607498,130.028152,7408896
01-09-2005,176.232498,179.25,176.125,178.032501,131.823715,7600184
